,bout_number,bout_length_sec,bout_start_time,Step_Start(IC)_Time,Time_lapse,IC,FC,gait_cycles,steps,stride_duration,stride_duration_asymmetry,step_duration,step_duration_asymmetry,cadence,initial_double_support,initial_double_support_asymmetry,terminal_double_support,terminal_double_support_asymmetry,double_support,double_support_asymmetry,single_limb_support,single_limb_support_asymmetry,stance,stance_asymmetry,swing,swing_asymmetry,step_length,step_length_asymmetry,stride_length,stride_length_asymmetry,gait_speed
0,1,14.66,1970-01-01 00:00:06,1970-01-01 00:00:08.140,0.0,8140.0,8960.0,16,21,1.24,0.06,0.68,0.12,88.24,0.16,0.02,0.14,0.02,0.3,0.0,0.52,0.1,0.82,0.1,0.42,0.04,0.64,0.13,1.15,0.16,0.93
1,1,14.66,1970-01-01 00:00:06,1970-01-01 00:00:08.820,680.0,8820.0,9540.0,16,21,1.18,0.02,0.56,0.06,107.14,0.14,0.02,0.16,0.02,0.3,0.0,0.42,0.04,0.72,0.04,0.46,0.02,0.51,0.02,1.0,0.02,0.84
2,1,14.66,1970-01-01 00:00:06,1970-01-01 00:00:09.380,1240.0,9380.0,10140.0,16,21,1.2,0.02,0.62,0.04,96.77,0.16,0.02,0.14,0.02,0.3,0.0,0.46,0.02,0.76,0.02,0.44,0.04,0.49,0.04,1.01,0.0,0.84
3,1,14.66,1970-01-01 00:00:06,1970-01-01 00:00:10.000,1860.0,10000.0,10740.0,16,21,1.22,0.04,0.58,0.06,103.45,0.14,0.02,0.16,0.04,0.3,0.02,0.44,0.04,0.74,0.02,0.48,0.06,0.52,0.03,1.02,0.13,0.83
4,1,14.66,1970-01-01 00:00:06,1970-01-01 00:00:10.580,2440.0,10580.0,11340.0,16,21,1.18,0.06,0.64,0.1,93.75,0.16,0.04,0.12,0.06,0.28,0.02,0.48,0.06,0.76,0.04,0.42,0.1,0.49,0.1,0.89,0.04,0.75
5,1,14.66,1970-01-01 00:00:06,1970-01-01 00:00:11.220,3080.0,11220.0,11940.0,16,21,1.24,0.42,0.54,0.16,111.11,0.12,0.06,0.18,0.18,0.3,0.24,0.42,0.1,0.72,0.34,0.52,0.08,0.39,0.13,0.92,0.13,0.74
6,1,14.66,1970-01-01 00:00:06,1970-01-01 00:00:11.760,3620.0,11760.0,12820.0,16,21,1.66,0.04,0.7,0.26,85.71,0.18,0.18,0.36,0.2,0.54,0.02,0.52,0.08,1.06,0.06,0.6,0.1,0.53,0.0,1.05,0.04,0.64
7,1,14.66,1970-01-01 00:00:06,1970-01-01 00:00:12.460,4320.0,12460.0,13580.0,16,21,1.62,0.46,0.96,0.3,62.5,0.36,0.2,0.16,0.04,0.52,0.24,0.6,0.1,1.12,0.34,0.5,0.12,0.53,0.04,1.09,0.08,0.67
8,1,14.66,1970-01-01 00:00:06,1970-01-01 00:00:13.420,5280.0,13420.0,14200.0,16,21,1.16,0.06,0.66,0.16,90.91,0.16,0.04,0.12,0.04,0.28,0.0,0.5,0.12,0.78,0.12,0.38,0.06,0.56,0.12,1.01,0.06,0.87
9,1,14.66,1970-01-01 00:00:06,1970-01-01 00:00:14.080,5940.0,14080.0,14740.0,16,21,1.1,0.02,0.5,0.1,120.0,0.12,0.04,0.16,0.06,0.28,0.02,0.38,0.06,0.66,0.04,0.44,0.06,0.44,0.06,0.95,0.07,0.86
10,1,14.66,1970-01-01 00:00:06,1970-01-01 00:00:14.580,6440.0,14580.0,15280.0,16,21,1.08,0.02,0.6,0.12,100.0,0.16,0.06,0.1,0.06,0.26,0.0,0.44,0.06,0.7,0.06,0.38,0.04,0.51,0.13,0.88,0.01,0.82
11,1,14.66,1970-01-01 00:00:06,1970-01-01 00:00:15.180,7040.0,15180.0,15820.0,16,21,1.06,0.08,0.48,0.1,125.0,0.1,0.06,0.16,0.02,0.26,0.04,0.38,0.04,0.64,0.08,0.42,0.0,0.38,0.14,0.9,0.16,0.84
12,1,14.66,1970-01-01 00:00:06,1970-01-01 00:00:15.660,7520.0,15660.0,16380.0,16,21,1.14,0.0,0.58,0.02,103.45,0.16,0.02,0.14,0.0,0.3,0.02,0.42,0.0,0.72,0.02,0.42,0.02,0.52,0.02,1.05,0.01,0.92
13,1,14.66,1970-01-01 00:00:06,1970-01-01 00:00:16.240,8100.0,16240.0,16940.0,16,21,1.14,0.04,0.56,0.02,107.14,0.14,0.0,0.14,0.0,0.28,0.0,0.42,0.02,0.7,0.02,0.44,0.06,0.53,0.01,1.06,0.07,0.93
14,1,14.66,1970-01-01 00:00:06,1970-01-01 00:00:16.800,8660.0,16800.0,17520.0,16,21,1.1,0.0,0.58,0.06,103.45,0.14,0.0,0.14,0.0,0.28,0.0,0.44,0.06,0.72,0.06,0.38,0.06,0.53,0.06,1.0,0.01,0.91
15,1,14.66,1970-01-01 00:00:06,1970-01-01 00:00:17.380,9240.0,17380.0,18040.0,16,21,1.1,0.04,0.52,0.06,115.38,0.14,0.0,0.14,0.0,0.28,0.0,0.38,0.06,0.66,0.06,0.44,0.02,0.47,0.05,0.98,0.05,0.89
